# name, type, opcode, funct, subtype
# ----------------------------------
# R type 1
add,    R,  0, 1, 1
sub,    R,  0, 2, 1
and,    R,  0, 3, 1
or,     R,  0, 4, 1
mor,    R,  0, 5, 1
# R type 2
move,   R,  1, 1, 2
mvhi,   R,  1, 2, 2
mvlo,   R,  1, 3, 2
# ----------------------------------
# I type 1
addi,   I, 10, 0, 1
subi,   I, 11, 0, 1 
andi,   I, 12, 0, 1
ori,    I, 13, 0, 1
nori,   I, 14, 0, 1
# I type 2
bne,    I, 15, 0, 2
beq,    I, 16, 0, 2
blt,    I, 17, 0, 2
bgt,    I, 18, 0, 2
# I type 3
lb,     I, 19, 0, 3
sb,     I, 20, 0, 3
lw,     I, 21, 0, 3
sw,     I, 22, 0, 3
lh,     I, 23, 0, 3
sh,     I, 24, 0, 3
# ----------------------------------
# J type 1
jmp,    J, 30, 0, 1
la,     J, 31, 0, 1
# J type 2
call,   J, 32, 0, 2
# J type 3
stop,   J, 63, 0, 3 
